1F_1,#genre#
AlbKanale Music TV Ⓢ,https://albportal.net/albkanalemusic.m3u8
CNA,https://live1.mediadesk.al/cnatvlive.m3u8
News 24 Ⓢ,https://tv.balkanweb.com/news24/livestream/playlist.m3u8
Ora News,https://live1.mediadesk.al/oranews.m3u8
Report TV,https://deb10stream.duckdns.org/hls/stream.m3u8
Tropoja,https://live.prostream.al/al/smil:tropojatv.smil/playlist.m3u8
TV 7 Albania,https://5d00db0e0fcd5.streamlock.net/7064/7064/playlist.m3u8
TN Todo Noticias,https://live-01-01-tn.vodgc.net/TN24/index.m3u8
TV Universidad,https://stratus.stream.cespi.unlp.edu.ar/hls/tvunlp.m3u8
El Trece,https://live-01-02-eltrece.vodgc.net/eltrecetv/index.m3u8
ABC News,https://content.uplynk.com/channel/3324f2467c414329b3b0cc5cd987b6be.m3u8
9Life Ⓖ,https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8
Servus TV Ⓖ,https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8
RTV,http://iptv.rtv-ooe.at/stream.m3u8
AzStarTV,http://live.azstartv.com/azstar/smil:azstar.smil/playlist.m3u8
Baku TV,https://rtmp.baku.tv/live/bakutv_720p.m3u8
Беларусь 1,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus1.smil/playlist.m3u8
Беларусь 2,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus2.smil/playlist.m3u8
Беларусь 3,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus3.smil/playlist.m3u8
Беларусь 5,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
Беларусь 24,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus24.smil/playlist.m3u8
Беларусь 5 Интернет,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5int.smil/playlist.m3u8
1Mus,http://hz1.teleport.cc/HLS/HD.m3u8
Belros Ⓢ,https://live2.mediacdn.ru/sr1/tro/playlist.m3u8
Radio HIT Orsk,http://hithd.camsh.orsk.ru/hls/hithd.m3u8
La Une,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/29797c9f3f4fa00.m3u8
Tipik,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/5dee2de1f4661ce.m3u8
RTV HB Ⓢ,https://prd-hometv-live-open.spectar.tv/ERO_1_083/playlist.m3u8
RTV BN,https://rtvbn.tv:8080/live/index.m3u8
RTV Glas Drine,http://glasdrine.cutuk.net:8081/433ssdsw/GlasDrineSD/playlist.m3u8
Televizija 5,https://balkanmedia.dynu.net/hls/tv5web.m3u8
ALL Sports Brasil,https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/chunklist.m3u8
AgroBrasil TV,http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8
Futura,https://tv.unisc.br/hls/test.m3u8
RBC,http://rbc.directradios.com:1935/rbc/rbc/live.m3u8
Anime TV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
ISTV,https://stmv1.srvstm.com/sistema7933/sistema7933/chunklist.m3u8
TVE RS,http://selpro1348.procergs.com.br:1935/tve/stve/playlist.m3u8
City TV Ⓢ,https://tv.city.bg/play/tshls/citytv/index.m3u8
TVO,https://cdnapisec.kaltura.com/p/1719221/sp/171922100/playManifest/entryId/1_t5h46v64/format/applehttp/protocol/https/a.m3u8
Global News,https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/.m3u8
CPAC (EN),https://d7z3qjdsxbwoq.cloudfront.net/groupa/live/f9809cea-1e07-47cd-a94d-2ddd3e1351db/live.isml/.m3u8
ICI RDI,https://rcavlive.akamaized.net/hls/live/704025/xcanrdi/master.m3u8
ICI Télé HD Ⓖ,https://rcavlive.akamaized.net/hls/live/696615/xcancbft/master.m3u8
Télé Québec,https://bcovlive-a.akamaihd.net/575d86160eb143458d51f7ab187a4e68/us-east-1/6101674910001/playlist.m3u8
Savoir Média,https://hls.savoir.media/live/stream.m3u8
ICI Montreal,https://amdici.akamaized.net/hls/live/873426/ICI-Live-Stream/master.m3u8
Toronto 360 TV,http://cdn3.toronto360.tv:8081/toronto360/hd/playlist.m3u8
Télé Tchad Ⓢ,https://strhlslb01.streamakaci.tv/str_tchad_tchad/str_tchad_multi/playlist.m3u8
TV+ Ⓖ,https://mdstrm.com/live-stream-playlist/5c0e8b19e4c87f3f2d3e6a59.m3u8
CCTV-4 中文国际（美） Ⓢ,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
88 Stereo,http://k3.usastreams.com/CableLatino/88stereo/playlist.m3u8
RTL 2,https://d1um9c09e0t5ag.cloudfront.net/rtl2/playlist.m3u8
RTL Kockica,https://d1rzyyum8t0q1e.cloudfront.net/rtl-kockica/playlist.m3u8
CMC TV,https://stream.cmctv.hr:49998/cmc/live.m3u8
TV Nova,https://stream.agatin.hr:3727/live/tvnovalive.m3u8
TV Jadran,https://tvjadran.stream.agatin.hr:3412/live/tvjadranlive.m3u8
Libertas TV,https://stream.luci.xyz/hls/LTV.m3u8
Trend TV,http://185.62.75.22:1935/trend/myStream/playlist.m3u8
Kıbrıs TV Ⓢ,https://sc-kuzeykibrissmarttv.ercdn.net/kibristv/bant1/playlist.m3u8
Prima Love Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_love/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Prima Cool Ⓖ,https://prima-ott-live.ssl.cdn.cra.cz/channels/prima_cool/playlist/cze/live_hd.m3u8?offsetSeconds=0&url=0
Óčko Ⓢ,https://ocko-live.ssl.cdn.cra.cz/channels/ocko/playlist.m3u8
Óčko Star Ⓢ,https://ocko-live.ssl.cdn.cra.cz/channels/ocko_gold/playlist.m3u8
Óčko Expres Ⓢ,https://ocko-live.ssl.cdn.cra.cz/channels/ocko_expres/playlist.m3u8
Folketinget TV,https://cdnapi.kaltura.com/p/2158211/sp/327418300/playManifest/entryId/1_24gfa7qq/protocol/https/format/applehttp/a.m3u8
ETV Ⓖ,http://sb.err.ee/live/etv.m3u8
ETV2 Ⓖ,http://sb.err.ee/live/etv2.m3u8
ETV+ Ⓖ,http://sb.err.ee/live/etvpluss.m3u8
Taevas TV7,https://vod.tv7.fi/tv7-ee/_definst_/smil:tv7-ee.smil/playlist.m3u8
TBN Baltia,http://dc.tbnbaltia.eu:8088/dvr/rewind-21600.m3u8
Taivas TV7,https://vod.tv7.fi/tv7-fi/_definst_/smil:tv7-fi.smil/playlist.m3u8
Himlen TV7,https://vod.tv7.fi/tv7-se/_definst_/smil:tv7-se.smil/playlist.m3u8
MTV Uutiset Live,https://live.streaming.a2d.tv/asset/20025962.isml/.m3u8
YleX Studio Live,https://ylestudiolive.akamaized.net/hls/live/2007826/ylestudiolive-YleX/master.m3u8
