1R_1,#genre#
MILF,http://live.redtraffic.xyz/milf.m3u8?fluxuslust.m3u8
PornStar,http://cdn.adultiptv.net/pornstar.m3u8
Big Ass,http://live.redtraffic.xyz/bigass.m3u8?fluxuslust.m3u8
POV,http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8
BlowJob,http://cdn.adultiptv.net/blowjob.m3u8
Teen,http://live.redtraffic.xyz/teen.m3u8?fluxuslust.m3u8
Threesome,http://live.redtraffic.xyz/threesome.m3u8?fluxuslust.m3u8
Russian,http://live.redtraffic.xyz/russian.m3u8?fluxuslust.m3u8
Lesbian,http://live.redtraffic.xyz/lesbian.m3u8?fluxuslust.m3u8
HardCore,http://cdn.adultiptv.net/hardcore.m3u8
Interracial,http://live.redtraffic.xyz/interracial.m3u8?fluxuslust.m3u8
Fetish,http://live.redtraffic.xyz/fetish.m3u8?fluxuslust.m3u8
Visit-X TV (Opt-1),http://stream.visit-x.tv/vxtv/live/playlist.m3u8?fluxuslust.m3u8
Visit-X TV (Opt-2),http://stream.visit-x.tv:1935/vxtv/live_720p/playlist.m3u8?fluxuslust.m3u8
Big Dick,http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
Big Tits,http://live.redtraffic.xyz/bigtits.m3u8?fluxuslust.m3u8
Blowjob,http://live.redtraffic.xyz/blowjob.m3u8?fluxuslust.m3u8
Cuckold,http://live.redtraffic.xyz/cuckold.m3u8?fluxuslust.m3u8
Hardcore,http://live.redtraffic.xyz/hardcore.m3u8?fluxuslust.m3u8
Latina,http://live.redtraffic.xyz/latina.m3u8?fluxuslust.m3u8
Pornstar,http://live.redtraffic.xyz/pornstar.m3u8?fluxuslust.m3u8
Adult Candy - VOD 01,http://stream2.fastcdn.me/flv/490.mp4
Adult Candy - VOD 02,http://stream2.fastcdn.me/flv/487.mp4
Adult Candy - VOD 03,http://stream2.fastcdn.me/flv/484.mp4
Adult Candy - VOD 04,http://stream2.fastcdn.me/flv/481.mp4
Adult Candy - VOD 05,http://stream2.fastcdn.me/flv/459.mp4
Adult Candy - VOD 06,http://stream2.fastcdn.me/flv/456.mp4
Adult Candy - VOD 07,http://stream2.fastcdn.me/flv/451.mp4
Adult Candy - VOD 08,http://stream2.fastcdn.me/flv/422.mp4
Adult Candy - VOD 09,http://stream2.fastcdn.me/flv/414.mp4
