1S_1,#genre#
 01.2 ADN 40,https://mdstrm.com/live-stream-playlist/60b578b060947317de7b57ac.m3u8
 01.3 Azteca Uno -1hr,https://stream.ads.ottera.tv/playlist.m3u8?network_id=5396
 01.4 Azteca Internacional,https://stream.ads.ottera.tv/playlist.m3u8?network_id=5397
 02.1 Las Estrellas,https://channel01-onlymex.akamaized.net/hls/live/2022749/event01/index.m3u8
 02.2 Foro TV,https://channel02-notusa.akamaized.net/hls/live/2023914/event01/index.m3u8
 02.3 N+ ,https://channel07-notusa.akamaized.net/hls/live/2036971/event01/index.m3u8
 02.4 N+ Media,https://channel04-notusa.akamaized.net/hls/live/2029754/event01/index.m3u8
 03.2 Imagen TV -1hr,https://stream.ads.ottera.tv/playlist.m3u8?network_id=6149
 04.1 TV4 (Guanajuato),https://5f1af61612fb5.streamlock.net/tv4/tv4.smil/playlist.m3u8
 04.2 TV4 (Guanajuato),https://5f2c1b0d880e5.streamlock.net/tv42/tv42.smil/playlist.m3u8
 04.3 TV4 Deportes,https://5f1af61612fb5.streamlock.net/tv43gto/smil:tv43gto.smil/playlist.m3u8
 04.4 N+ Monterrey,https://channel09-notusa.akamaized.net/hls/live/2094418/event01/index.m3u8
 05.1 Canal 5,http://181.78.105.146:2000/play/a038/index.m3u8
 06.1 Multimedios,https://mdstrm.com/live-stream-playlist/5d5d51a4e9a40e25f4a0332c.m3u8
 06.2 Milenio ,https://stream.ads.ottera.tv/playlist.m3u8?network_id=7401
 06.4 TeleDiario,https://stream.ads.ottera.tv/playlist.m3u8?network_id=11014
 08.1 RCG Media,https://video1.getstreamhosting.com:1936/8172/8172/playlist.m3u8
 09.1 Nueve TV (San Luis),https://5ca9af4645e15.streamlock.net/nuevetv/videonuevetv/playlist.m3u8
 10.1 Canal 10 (Chiapas),https://5ca9af4645e15.streamlock.net/chiapas/videochiapas/playlist.m3u8
 10.5 TeleFórmula,https://stream.ads.ottera.tv/playlist.m3u8?network_id=4505
 10.6 MegaNoticias,https://pctv-meganoticias-1-mx.tcl.wurl.tv/playlist.m3u8
 11.1 Once IPN,https://vivo.canaloncelive.tv/alivepkgr3/ngrp:cepro_all/playlist.m3u8
 11.3 Once IPN Digital,https://vivo.canaloncelive.tv/oncedos/ngrp:pruebachunks_all/playlist.m3u8
 12.1 Teleritmo,https://mdstrm.com/live-stream-playlist/57b4dc126338448314449d0c.m3u8
 14.1 Canal 14,https://cdn.mycloudstream.io/hls/live/broadcast/uqgv4lg6/index.m3u8
 15.1 Telemax (Sonora),http://s5.mexside.net:1935/telemax/telemax/playlist.m3u8
 16.1 SICOM (Puebla),https://5d0d1d7a6be9e.streamlock.net/envivo/puecom/chunklist_w1321846703.m3u8
 17.1 Jalisco TV,https://video0.rogohosting.com:19360/sisjalisciense/sisjalisciense.m3u8
 20.1 TV UNAM,https://cdn.mycloudstream.io/hls/live/broadcast/f8zowjae/index.m3u8
 26.1 VA+ (Aguascalientes),https://60417ddeaf0d9.streamlock.net/telemetrika3/smil:telemetrika3.smil/playlist.m3u8
 34.1 Mexiquense (EdoMex),https://5e50264bd6766.streamlock.net/mexiquense/videomexiquense/playlist.m3u8
 106 Bolivia (BTV),https://60417ddeaf0d9.streamlock.net:443/boliviatv/videoboliviatv/playlist.m3u8
 109 Argentina (TVP),https://cntlnk-main-edge-access.dlt.qwilted-cds.cqloud.com/entrypoint/c7_vivo01_dai_source-20001_all.m3u8
 110 Guinea E. (TVGE),https://rrsatrtmp.tulix.tv/tvge1/tvge1multi.smil/chunklist_w238149688_b1500000.m3u8
 120 España (24h),https://rtvelivestream-clnx.rtve.es/rtvesec/24h/24h_main.m3u8
 121 España (TVE),https://rtvelivestream.akamaized.net/rtvesec/int/tvei_ame_main.m3u8
 122 España (TVE Star),https://rtvelivestream.akamaized.net/rtvesec/int/star_main.m3u8
 123 España (El Confidencial),https://daqnsnf5phf17.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-sde7fypd1420w-prod/fast-channel-elconfidencial/fast-channel-elconfidencial.m3u8
 126 EEUU (T Noticias),https://d3i0aurg3nyoct.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-25zej4uwofrfd/playlist.m3u8
 129 EEUU (Estrella News),https://estrellanews-roku.amagi.tv/playlist.m3u8
 133 Francia (Euronews),https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/euronews-spa/euronews-es.m3u8
 136 Alemania (DW -30min),https://dwamdstream104.akamaized.net/hls/live/2015530/dwstream104/stream04/streamPlaylist.m3u8
 140 Rusia (RT),https://rt-esp.rttv.com/live/rtesp/playlist_1600Kb.m3u8
 150 Irán (HispanTV),https://cdnlive.presstv.ir/live/smil:live.smil/playlist.m3u8
 180 China (CGTN),https://global.cgtn.cicc.media.caton.cloud/master/cgtn-espanol.m3u8
 200 Brasil (RN),https://stream.ads.ottera.tv/playlist.m3u8?network_id=2116
 226 EEUU (Fox News),http://247preview.foxnews.com/hls/live/2020027/fncv3preview/primary.m3u8
 228 EEUU (NASA TV Public),https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master.m3u8
 229 EEUU (NASA TV Media),https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8
 239 Israel (i24),https://bcovlive-a.akamaihd.net/6e3dd61ac4c34d6f8fb9698b565b9f50/eu-central-1/5377161796001/playlist-all_dvr.m3u8
 240 Rusia (RT Documentary),https://rt-rtd.rttv.com/live/rtdoc/playlist.m3u8
 260 India (India Today),https://indiatodaylive.akamaized.net/hls/live/2014320/indiatoday/indiatodaylive/playlist.m3u8
